image,date,width,height,task,type,region,disease,crop,area,grow,risk,xtl,ytl,xbr,ybr
V006_77_0_00_11_03_12_0_c01_20201013_0000_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1481,1345,2719,3233
V006_77_0_00_11_03_12_0_c01_20201013_0000_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1480,1365,2710,3230
V006_77_0_00_11_03_12_0_c01_20201013_0001_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,3095,930,4480,2980
V006_77_0_00_11_03_12_0_c01_20201013_0001_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,3105,940,4475,2985
V006_77_0_00_11_03_12_0_c01_20201013_0002_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,2130,205,4015,2655
V006_77_0_00_11_03_12_0_c01_20201013_0002_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,2130,250,4015,2640
V006_77_0_00_11_03_12_0_c01_20201013_0003_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1755,1355,4775,3310
V006_77_0_00_11_03_12_0_c01_20201013_0003_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1755,1360,4775,3320
V006_77_0_00_11_03_12_0_c01_20201013_0004_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1220,330,4180,3400
V006_77_0_00_11_03_12_0_c01_20201013_0004_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1215,330,4175,3395
V006_77_0_00_11_03_12_0_c01_20201013_0005_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,390,645,3970,3430
V006_77_0_00_11_03_12_0_c01_20201013_0005_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,390,655,3960,3425
V006_77_0_00_11_03_12_0_c01_20201013_0006_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1255,1623,3258,3180
V006_77_0_00_11_03_12_0_c01_20201013_0006_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1265,1610,3274,3180
V006_77_0_00_11_03_12_0_c01_20201013_0007_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1045,403,3795,3677
V006_77_0_00_11_03_12_0_c01_20201013_0007_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1035,370,3795,3677
V006_77_0_00_11_03_12_0_c01_20201013_0008_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1655,260,3495,3070
V006_77_0_00_11_03_12_0_c01_20201013_0008_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1665,230,3495,3070
V006_77_0_00_11_03_12_0_c01_20201013_0009_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1215,1170,3315,2860
V006_77_0_00_11_03_12_0_c01_20201013_0009_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1205,1170,3315,2860
V006_77_0_00_11_03_12_0_c01_20201013_0010_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,25,1190,3985,3430
V006_77_0_00_11_03_12_0_c01_20201013_0010_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,65,1190,3975,3430
V006_77_0_00_11_03_12_0_c01_20201013_0011_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,765,130,4055,2680
V006_77_0_00_11_03_12_0_c01_20201013_0011_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,755,130,4055,2690
V006_77_0_00_11_03_12_0_c01_20201013_0012_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,355,100,3625,3810
V006_77_0_00_11_03_12_0_c01_20201013_0012_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,340,130,3615,3810
V006_77_0_00_11_03_12_0_c01_20201013_0013_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,2500,1260,4780,3230
V006_77_0_00_11_03_12_0_c01_20201013_0013_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,2500,1260,4775,3225
V006_77_0_00_11_03_12_0_c01_20201013_0014_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1395,480,3555,3695
V006_77_0_00_11_03_12_0_c01_20201013_0014_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1390,480,3560,3695
V006_77_0_00_11_03_12_0_c01_20201013_0015_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,2200,590,5650,3625
V006_77_0_00_11_03_12_0_c01_20201013_0015_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,2205,600,5670,3615
V006_77_0_00_11_03_12_0_c01_20201013_0016_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1830,390,4470,3510
V006_77_0_00_11_03_12_0_c01_20201013_0016_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1830,410,4455,3505
V006_77_0_00_11_03_12_0_c01_20201013_0017_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,337,1541,3840,3697
V006_77_0_00_11_03_12_0_c01_20201013_0017_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,325,850,4395,3700
V006_77_0_00_11_03_12_0_c01_20201013_0018_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1724,567,3475,3669
V006_77_0_00_11_03_12_0_c01_20201013_0018_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1728,560,3467,3663
V006_77_0_00_11_03_12_0_c01_20201013_0019_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1614,877,4816,3401
V006_77_0_00_11_03_12_0_c01_20201013_0019_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1625,873,4825,3409
V006_77_0_00_11_03_12_0_c01_20201013_0020_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1123,538,4370,3195
V006_77_0_00_11_03_12_0_c01_20201013_0020_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1115,525,4375,3200
V006_77_0_00_11_03_12_0_c01_20201013_0021_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,428,1427,3765,3448
V006_77_0_00_11_03_12_0_c01_20201013_0021_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,434,1404,3815,3452
V006_77_0_00_11_03_12_0_c01_20201013_0022_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,255,590,4445,3885
V006_77_0_00_11_03_12_0_c01_20201013_0022_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,265,605,4435,3875
V006_77_0_00_11_03_12_0_c01_20201013_0023_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1110,1190,3080,2905
V006_77_0_00_11_03_12_0_c01_20201013_0023_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1110,1195,3070,2905
V006_77_0_00_11_03_12_0_c01_20201013_0024_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1796,1265,4496,3396
V006_77_0_00_11_03_12_0_c01_20201013_0024_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1835,1275,4500,3400
V006_77_0_00_11_03_12_0_c01_20201013_0025_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,2115,1100,4585,2655
V006_77_0_00_11_03_12_0_c01_20201013_0025_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,2115,1095,4595,2665
V006_77_0_00_11_03_12_0_c01_20201013_0026_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1324,430,4448,3066
V006_77_0_00_11_03_12_0_c01_20201013_0026_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1320,415,4460,3075
V006_77_0_00_11_03_12_0_c01_20201013_0027_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,2671,1033,5241,2569
V006_77_0_00_11_03_12_0_c01_20201013_0027_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,2660,1025,5240,2570
