image,date,width,height,task,type,region,disease,crop,area,grow,risk,xtl,ytl,xbr,ybr
V006_77_1_18_11_03_13_1_3248b_20201005_57_a0000.jpg,2020/10/05,4032,3024,77,1,4,18,11,3,13,1,908,712,3104,2108
V006_77_1_18_11_03_13_1_3248b_20201005_57_a0001.jpg,2020/10/05,4032,3024,77,1,4,18,11,3,13,1,927,916,3124,2312
V006_77_1_18_11_03_13_1_3248b_20201005_57_a0002.jpg,2020/10/05,3024,4032,77,1,4,18,11,3,13,1,916,908,2312,3104
V006_77_1_18_11_03_13_1_3248b_20201005_57_a0003.jpg,2020/10/05,3024,4032,77,1,4,18,11,3,13,1,916,908,2312,3104
V006_77_1_18_11_03_13_1_3248b_20201005_57_a0004.jpg,2020/10/05,3024,4032,77,1,4,18,11,3,13,1,916,927,2312,3124
V006_77_1_18_11_03_13_1_3248b_20201005_57_a0005.jpg,2020/10/05,4032,3024,77,1,4,18,11,3,13,1,927,712,3124,2108
V006_77_1_18_11_03_13_1_3248b_20201005_57_a0006.jpg,2020/10/05,3024,4032,77,1,4,18,11,3,13,1,712,908,2108,3104
V006_77_1_18_11_03_13_1_3248b_20201005_57_a0007.jpg,2020/10/05,3024,4032,77,1,4,18,11,3,13,1,712,927,2108,3124
V006_77_1_18_11_03_13_1_3248b_20201005_57_a0008.jpg,2020/10/05,3024,4032,77,1,4,18,11,3,13,1,712,927,2108,3124
V006_77_1_18_11_03_13_1_3248b_20201005_57_a0009.jpg,2020/10/05,3024,4032,77,1,4,18,11,3,13,1,712,927,2108,3124
V006_77_1_18_11_03_13_1_3248b_20201012_60_a0000.jpg,2020/10/12,3024,4032,77,1,4,18,11,3,13,1,556,675,2260,2924
V006_77_1_18_11_03_13_1_3248b_20201012_60_a0001.jpg,2020/10/12,3024,4032,77,1,4,18,11,3,13,1,764,675,2468,2924
V006_77_1_18_11_03_13_1_3248b_20201012_60_a0002.jpg,2020/10/12,3024,4032,77,1,4,18,11,3,13,1,764,675,2468,2924
V006_77_1_18_11_03_13_1_3248b_20201012_60_a0003.jpg,2020/10/12,3024,4032,77,1,4,18,11,3,13,1,556,675,2260,2924
V006_77_1_18_11_03_13_1_3248b_20201012_60_a0004.jpg,2020/10/12,4032,3024,77,1,4,18,11,3,13,1,1108,556,3356,2260
V006_77_1_18_11_03_13_1_3248b_20201012_60_a0005.jpg,2020/10/12,3024,4032,77,1,4,18,11,3,13,1,556,1108,2260,3356
V006_77_1_18_11_03_13_1_3248b_20201012_60_a0006.jpg,2020/10/12,4032,3024,77,1,4,18,11,3,13,1,1108,764,3356,2468
V006_77_1_18_11_03_13_1_3248b_20201012_60_a0007.jpg,2020/10/12,4032,3024,77,1,4,18,11,3,13,1,1108,556,3356,2260
V006_77_1_18_11_03_13_1_3248b_20201012_60_a0008.jpg,2020/10/12,3024,4032,77,1,4,18,11,3,13,1,764,1108,2468,3356
V006_77_1_18_11_03_13_1_3248b_20201012_60_a0009.jpg,2020/10/12,4032,3024,77,1,4,18,11,3,13,1,1108,764,3356,2468
V006_77_1_18_11_03_13_1_3248b_20201012_61_a0000.jpg,2020/10/12,3024,4032,77,1,4,18,11,3,13,1,772,1152,2420,3232
V006_77_1_18_11_03_13_1_3248b_20201012_61_a0001.jpg,2020/10/12,3024,4032,77,1,4,18,11,3,13,1,604,799,2252,2880
V006_77_1_18_11_03_13_1_3248b_20201012_61_a0002.jpg,2020/10/12,3024,4032,77,1,4,18,11,3,13,1,772,799,2420,2880
V006_77_1_18_11_03_13_1_3248b_20201012_61_a0003.jpg,2020/10/12,4032,3024,77,1,4,18,11,3,13,1,799,772,2880,2420
V006_77_1_18_11_03_13_1_3248b_20201012_61_a0004.jpg,2020/10/12,3024,4032,77,1,4,18,11,3,13,1,604,799,2252,2880
V006_77_1_18_11_03_13_1_3248b_20201012_61_a0005.jpg,2020/10/12,4032,3024,77,1,4,18,11,3,13,1,799,772,2880,2420
V006_77_1_18_11_03_13_1_3248b_20201012_61_a0006.jpg,2020/10/12,3024,4032,77,1,4,18,11,3,13,1,772,1152,2420,3232
V006_77_1_18_11_03_13_1_3248b_20201012_61_a0007.jpg,2020/10/12,3024,4032,77,1,4,18,11,3,13,1,604,1152,2252,3232
V006_77_1_18_11_03_13_1_3248b_20201012_61_a0008.jpg,2020/10/12,4032,3024,77,1,4,18,11,3,13,1,799,772,2880,2420
V006_77_1_18_11_03_13_1_3248b_20201012_61_a0009.jpg,2020/10/12,4032,3024,77,1,4,18,11,3,13,1,799,604,2880,2252
V006_77_1_18_11_03_13_1_3248b_20201012_64_a0000.jpg,2020/10/12,4032,3024,77,1,4,18,11,3,13,1,1276,544,3492,2224
V006_77_1_18_11_03_13_1_3248b_20201012_64_a0001.jpg,2020/10/12,3024,4032,77,1,4,18,11,3,13,1,800,1276,2480,3492
V006_77_1_18_11_03_13_1_3248b_20201012_64_a0002.jpg,2020/10/12,4032,3024,77,1,4,18,11,3,13,1,1276,800,3492,2480
V006_77_1_18_11_03_13_1_3248b_20201012_64_a0003.jpg,2020/10/12,4032,3024,77,1,4,18,11,3,13,1,1276,544,3492,2224
V006_77_1_18_11_03_13_1_3248b_20201012_64_a0004.jpg,2020/10/12,4032,3024,77,1,4,18,11,3,13,1,1276,544,3492,2224
V006_77_1_18_11_03_13_1_3248b_20201012_64_a0005.jpg,2020/10/12,3024,4032,77,1,4,18,11,3,13,1,800,540,2480,2756
V006_77_1_18_11_03_13_1_3248b_20201012_64_a0006.jpg,2020/10/12,4032,3024,77,1,4,18,11,3,13,1,1276,800,3492,2480
V006_77_1_18_11_03_13_1_3248b_20201012_64_a0007.jpg,2020/10/12,4032,3024,77,1,4,18,11,3,13,1,1276,544,3492,2224
V006_77_1_18_11_03_13_1_3248b_20201012_64_a0008.jpg,2020/10/12,4032,3024,77,1,4,18,11,3,13,1,1276,800,3492,2480
V006_77_1_18_11_03_13_1_3248b_20201012_64_a0009.jpg,2020/10/12,3024,4032,77,1,4,18,11,3,13,1,544,1276,2224,3492
V006_77_1_18_11_03_13_1_3248b_20201019_67_a0000.jpg,2020/10/19,3024,4032,77,1,4,18,11,3,13,1,852,691,2524,3384
V006_77_1_18_11_03_13_1_3248b_20201019_67_a0001.jpg,2020/10/19,4032,3024,77,1,4,18,11,3,13,1,648,500,3340,2172
V006_77_1_18_11_03_13_1_3248b_20201019_67_a0002.jpg,2020/10/19,4032,3024,77,1,4,18,11,3,13,1,648,852,3340,2524
V006_77_1_18_11_03_13_1_3248b_20201019_67_a0003.jpg,2020/10/19,3024,4032,77,1,4,18,11,3,13,1,500,648,2172,3340
V006_77_1_18_11_03_13_1_3248b_20201019_67_a0004.jpg,2020/10/19,3024,4032,77,1,4,18,11,3,13,1,852,648,2524,3340
V006_77_1_18_11_03_13_1_3248b_20201019_67_a0005.jpg,2020/10/19,4032,3024,77,1,4,18,11,3,13,1,648,852,3340,2524
V006_77_1_18_11_03_13_1_3248b_20201019_67_a0006.jpg,2020/10/19,3024,4032,77,1,4,18,11,3,13,1,852,648,2524,3340
V006_77_1_18_11_03_13_1_3248b_20201019_67_a0007.jpg,2020/10/19,4032,3024,77,1,4,18,11,3,13,1,648,852,3340,2524
V006_77_1_18_11_03_13_1_3248b_20201019_67_a0008.jpg,2020/10/19,3024,4032,77,1,4,18,11,3,13,1,500,648,2172,3340
V006_77_1_18_11_03_13_1_3248b_20201019_67_a0009.jpg,2020/10/19,3024,4032,77,1,4,18,11,3,13,1,500,648,2172,3340
V006_77_1_18_11_03_13_1_3248b_20201026_19_a0000.jpg,2020/10/26,4032,3024,77,1,4,18,11,3,13,1,812,848,3272,2260
V006_77_1_18_11_03_13_1_3248b_20201026_19_a0001.jpg,2020/10/26,3024,4032,77,1,4,18,11,3,13,1,848,812,2260,3272
V006_77_1_18_11_03_13_1_3248b_20201026_19_a0002.jpg,2020/10/26,4032,3024,77,1,4,18,11,3,13,1,812,764,3272,2176
V006_77_1_18_11_03_13_1_3248b_20201026_19_a0003.jpg,2020/10/26,3024,4032,77,1,4,18,11,3,13,1,848,760,2260,3220
V006_77_1_18_11_03_13_1_3248b_20201026_19_a0004.jpg,2020/10/26,3024,4032,77,1,4,18,11,3,13,1,848,812,2260,3272
V006_77_1_18_11_03_13_1_3248b_20201026_19_a0005.jpg,2020/10/26,4032,3024,77,1,4,18,11,3,13,1,812,764,3272,2176
V006_77_1_18_11_03_13_1_3248b_20201026_19_a0006.jpg,2020/10/26,3024,4032,77,1,4,18,11,3,13,1,848,760,2260,3220
V006_77_1_18_11_03_13_1_3248b_20201026_19_a0007.jpg,2020/10/26,3024,4032,77,1,4,18,11,3,13,1,848,812,2260,3272
V006_77_1_18_11_03_13_1_3248b_20201026_19_a0008.jpg,2020/10/26,3024,4032,77,1,4,18,11,3,13,1,764,812,2176,3272
V006_77_1_18_11_03_13_1_3248b_20201026_19_a0009.jpg,2020/10/26,4032,3024,77,1,4,18,11,3,13,1,812,764,3272,2176
V006_77_1_18_11_03_13_1_3248b_20201102_26_a0000.jpg,2020/11/02,3024,4032,77,1,4,18,11,3,13,1,1072,1008,2708,2920
V006_77_1_18_11_03_13_1_3248b_20201102_26_a0001.jpg,2020/11/02,4032,3024,77,1,4,18,11,3,13,1,1008,316,2920,1952
V006_77_1_18_11_03_13_1_3248b_20201102_26_a0002.jpg,2020/11/02,4032,3024,77,1,4,18,11,3,13,1,1008,1072,2920,2708
V006_77_1_18_11_03_13_1_3248b_20201102_26_a0003.jpg,2020/11/02,4032,3024,77,1,4,18,11,3,13,1,1008,1072,2920,2708
V006_77_1_18_11_03_13_1_3248b_20201102_26_a0004.jpg,2020/11/02,4032,3024,77,1,4,18,11,3,13,1,1008,1072,2920,2708
V006_77_1_18_11_03_13_1_3248b_20201102_26_a0005.jpg,2020/11/02,4032,3024,77,1,4,18,11,3,13,1,1008,1072,2920,2708
V006_77_1_18_11_03_13_1_3248b_20201102_26_a0006.jpg,2020/11/02,4032,3024,77,1,4,18,11,3,13,1,1008,1072,2920,2708
V006_77_1_18_11_03_13_1_3248b_20201102_26_a0007.jpg,2020/11/02,3024,4032,77,1,4,18,11,3,13,1,316,1008,1952,2920
V006_77_1_18_11_03_13_1_3248b_20201102_26_a0008.jpg,2020/11/02,3024,4032,77,1,4,18,11,3,13,1,316,1008,1952,2920
V006_77_1_18_11_03_13_1_3248b_20201102_26_a0009.jpg,2020/11/02,4032,3024,77,1,4,18,11,3,13,1,1112,1072,3024,2708
V006_77_1_18_11_03_13_1_3248b_20201116_40_a0000.jpg,2020/11/16,4032,3024,77,1,4,18,11,3,13,1,832,784,2724,2316
V006_77_1_18_11_03_13_1_3248b_20201116_40_a0001.jpg,2020/11/16,4032,3024,77,1,4,18,11,3,13,1,832,784,2724,2316
V006_77_1_18_11_03_13_1_3248b_20201116_40_a0002.jpg,2020/11/16,3024,4032,77,1,4,18,11,3,13,1,707,832,2240,2724
V006_77_1_18_11_03_13_1_3248b_20201116_40_a0003.jpg,2020/11/16,4032,3024,77,1,4,18,11,3,13,1,1308,707,3200,2240
V006_77_1_18_11_03_13_1_3248b_20201116_40_a0004.jpg,2020/11/16,3024,4032,77,1,4,18,11,3,13,1,784,832,2316,2724
V006_77_1_18_11_03_13_1_3248b_20201116_40_a0005.jpg,2020/11/16,4032,3024,77,1,4,18,11,3,13,1,1308,784,3200,2316
V006_77_1_18_11_03_13_1_3248b_20201116_40_a0006.jpg,2020/11/16,4032,3024,77,1,4,18,11,3,13,1,832,707,2724,2240
V006_77_1_18_11_03_13_1_3248b_20201116_40_a0007.jpg,2020/11/16,4032,3024,77,1,4,18,11,3,13,1,1308,707,3200,2240
V006_77_1_18_11_03_13_1_3248b_20201116_40_a0008.jpg,2020/11/16,3024,4032,77,1,4,18,11,3,13,1,784,832,2316,2724
V006_77_1_18_11_03_13_1_3248b_20201116_40_a0009.jpg,2020/11/16,3024,4032,77,1,4,18,11,3,13,1,784,832,2316,2724
V006_77_1_18_11_03_13_1_3248b_20201130_49_a0000.jpg,2020/11/30,4032,3024,77,1,4,18,11,3,13,1,796,824,2932,2384
V006_77_1_18_11_03_13_1_3248b_20201130_49_a0001.jpg,2020/11/30,3024,4032,77,1,4,18,11,3,13,1,640,1100,2200,3236
V006_77_1_18_11_03_13_1_3248b_20201130_49_a0002.jpg,2020/11/30,4032,3024,77,1,4,18,11,3,13,1,796,824,2932,2384
V006_77_1_18_11_03_13_1_3248b_20201130_49_a0003.jpg,2020/11/30,3024,4032,77,1,4,18,11,3,13,1,640,796,2200,2932
V006_77_1_18_11_03_13_1_3248b_20201130_49_a0004.jpg,2020/11/30,3024,4032,77,1,4,18,11,3,13,1,824,796,2384,2932
V006_77_1_18_11_03_13_1_3248b_20201130_49_a0005.jpg,2020/11/30,4032,3024,77,1,4,18,11,3,13,1,796,640,2932,2200
V006_77_1_18_11_03_13_1_3248b_20201130_49_a0006.jpg,2020/11/30,4032,3024,77,1,4,18,11,3,13,1,796,640,2932,2200
V006_77_1_18_11_03_13_1_3248b_20201130_49_a0007.jpg,2020/11/30,4032,3024,77,1,4,18,11,3,13,1,796,824,2932,2384
V006_77_1_18_11_03_13_1_3248b_20201130_49_a0008.jpg,2020/11/30,4032,3024,77,1,4,18,11,3,13,1,796,824,2932,2384
V006_77_1_18_11_03_13_1_3248b_20201130_49_a0009.jpg,2020/11/30,4032,3024,77,1,4,18,11,3,13,1,1100,640,3236,2200
V006_77_1_18_11_03_13_1_7688w_20200916_1_a0000.jpg,2020/09/16,4032,3024,77,1,4,18,11,3,13,1,1167,840,3208,2420
V006_77_1_18_11_03_13_1_7688w_20200916_1_a0001.jpg,2020/09/16,4032,3024,77,1,4,18,11,3,13,1,824,604,2864,2184
V006_77_1_18_11_03_13_1_7688w_20200916_1_a0002.jpg,2020/09/16,3024,4032,77,1,4,18,11,3,13,1,604,1167,2184,3208
V006_77_1_18_11_03_13_1_7688w_20200916_1_a0003.jpg,2020/09/16,4032,3024,77,1,4,18,11,3,13,1,1167,840,3208,2420
V006_77_1_18_11_03_13_1_7688w_20200916_1_a0004.jpg,2020/09/16,4032,3024,77,1,4,18,11,3,13,1,1167,840,3208,2420
V006_77_1_18_11_03_13_1_7688w_20200916_1_a0005.jpg,2020/09/16,4032,3024,77,1,4,18,11,3,13,1,1167,604,3208,2184
V006_77_1_18_11_03_13_1_7688w_20200916_1_a0006.jpg,2020/09/16,3024,4032,77,1,4,18,11,3,13,1,604,824,2184,2864
V006_77_1_18_11_03_13_1_7688w_20200916_1_a0007.jpg,2020/09/16,3024,4032,77,1,4,18,11,3,13,1,604,824,2184,2864
V006_77_1_18_11_03_13_1_7688w_20200916_1_a0008.jpg,2020/09/16,4032,3024,77,1,4,18,11,3,13,1,824,604,2864,2184
V006_77_1_18_11_03_13_1_7688w_20200916_1_a0009.jpg,2020/09/16,4032,3024,77,1,4,18,11,3,13,1,824,840,2864,2420
V006_77_1_18_11_03_13_1_7688w_20200916_6_a0000.jpg,2020/09/16,4032,3024,77,1,4,18,11,3,13,1,1094,856,3064,2024
V006_77_1_18_11_03_13_1_7688w_20200916_6_a0001.jpg,2020/09/16,3024,4032,77,1,4,18,11,3,13,1,1000,1094,2168,3064
V006_77_1_18_11_03_13_1_7688w_20200916_6_a0002.jpg,2020/09/16,3024,4032,77,1,4,18,11,3,13,1,1000,1094,2168,3064
V006_77_1_18_11_03_13_1_7688w_20200916_6_a0003.jpg,2020/09/16,3024,4032,77,1,4,18,11,3,13,1,1000,968,2168,2938
V006_77_1_18_11_03_13_1_7688w_20200916_6_a0004.jpg,2020/09/16,4032,3024,77,1,4,18,11,3,13,1,1094,1000,3064,2168
V006_77_1_18_11_03_13_1_7688w_20200916_6_a0005.jpg,2020/09/16,4032,3024,77,1,4,18,11,3,13,1,1094,856,3064,2024
V006_77_1_18_11_03_13_1_7688w_20200916_6_a0006.jpg,2020/09/16,4032,3024,77,1,4,18,11,3,13,1,968,856,2938,2024
V006_77_1_18_11_03_13_1_7688w_20200916_6_a0007.jpg,2020/09/16,4032,3024,77,1,4,18,11,3,13,1,968,856,2938,2024
V006_77_1_18_11_03_13_1_7688w_20200916_6_a0008.jpg,2020/09/16,4032,3024,77,1,4,18,11,3,13,1,1094,1000,3064,2168
V006_77_1_18_11_03_13_1_7688w_20200916_6_a0009.jpg,2020/09/16,3024,4032,77,1,4,18,11,3,13,1,856,1094,2024,3064
V006_77_1_18_11_03_13_1_7688w_20200918_12_a0000.jpg,2020/09/18,3024,4032,77,1,4,18,11,3,13,1,368,387,2344,3204
V006_77_1_18_11_03_13_1_7688w_20200918_12_a0001.jpg,2020/09/18,3024,4032,77,1,4,18,11,3,13,1,680,828,2656,3644
V006_77_1_18_11_03_13_1_7688w_20200918_12_a0002.jpg,2020/09/18,3024,4032,77,1,4,18,11,3,13,1,368,828,2344,3644
V006_77_1_18_11_03_13_1_7688w_20200918_12_a0003.jpg,2020/09/18,3024,4032,77,1,4,18,11,3,13,1,368,828,2344,3644
V006_77_1_18_11_03_13_1_7688w_20200918_12_a0004.jpg,2020/09/18,4032,3024,77,1,4,18,11,3,13,1,387,368,3204,2344
V006_77_1_18_11_03_13_1_7688w_20200918_12_a0005.jpg,2020/09/18,4032,3024,77,1,4,18,11,3,13,1,387,680,3204,2656
V006_77_1_18_11_03_13_1_7688w_20200918_12_a0006.jpg,2020/09/18,4032,3024,77,1,4,18,11,3,13,1,828,680,3644,2656
V006_77_1_18_11_03_13_1_7688w_20200918_12_a0007.jpg,2020/09/18,4032,3024,77,1,4,18,11,3,13,1,828,368,3644,2344
V006_77_1_18_11_03_13_1_7688w_20200918_12_a0008.jpg,2020/09/18,3024,4032,77,1,4,18,11,3,13,1,680,387,2656,3204
V006_77_1_18_11_03_13_1_7688w_20200918_12_a0009.jpg,2020/09/18,4032,3024,77,1,4,18,11,3,13,1,828,680,3644,2656
