image,date,width,height,task,type,region,disease,crop,area,grow,risk,xtl,ytl,xbr,ybr
V006_77_1_18_11_03_13_1_3248b_20201005_57.jpg,2020/10/05,4032,3024,77,1,4,18,11,3,13,1,908,916,3104,2312
V006_77_1_18_11_03_13_1_3248b_20201012_60.jpg,2020/10/12,4032,3024,77,1,4,18,11,3,13,1,1108,556,3356,2260
V006_77_1_18_11_03_13_1_3248b_20201012_61.jpg,2020/10/12,4032,3024,77,1,4,18,11,3,13,1,1152,772,3232,2420
V006_77_1_18_11_03_13_1_3248b_20201012_64.jpg,2020/10/12,4032,3024,77,1,4,18,11,3,13,1,540,544,2756,2224
V006_77_1_18_11_03_13_1_3248b_20201019_67.jpg,2020/10/19,4032,3024,77,1,4,18,11,3,13,1,648,852,3340,2524
V006_77_1_18_11_03_13_1_3248b_20201026_19.jpg,2020/10/26,4032,3024,77,1,4,18,11,3,13,1,812,764,3272,2176
V006_77_1_18_11_03_13_1_3248b_20201102_26.jpg,2020/11/02,4032,3024,77,1,4,18,11,3,13,1,1008,316,2920,1952
V006_77_1_18_11_03_13_1_3248b_20201116_40.jpg,2020/11/16,4032,3024,77,1,4,18,11,3,13,1,1308,784,3200,2316
V006_77_1_18_11_03_13_1_3248b_20201130_49.jpg,2020/11/30,4032,3024,77,1,4,18,11,3,13,1,796,824,2932,2384
V006_77_1_18_11_03_13_1_7688w_20200916_1.jpg,2020/09/16,4032,3024,77,1,4,18,11,3,13,1,824,604,2864,2184
V006_77_1_18_11_03_13_1_7688w_20200916_6.jpg,2020/09/16,4032,3024,77,1,4,18,11,3,13,1,1094,856,3064,2024
V006_77_1_18_11_03_13_1_7688w_20200918_12.jpg,2020/09/18,4032,3024,77,1,4,18,11,3,13,1,828,680,3644,2656
V006_77_1_18_11_03_13_1_7688w_20200922_20.jpg,2020/09/22,4032,3024,77,1,4,18,11,3,13,1,1040,468,2840,2256
V006_77_1_18_11_03_13_1_7688w_20200922_21.jpg,2020/09/22,4032,3024,77,1,4,18,11,3,13,1,1004,848,3360,2208
V006_77_1_18_11_03_13_1_7688w_20200922_24.jpg,2020/09/22,4032,3024,77,1,4,18,11,3,13,1,993,903,2903,2421
V006_77_1_18_11_03_13_1_7688w_20200922_25.jpg,2020/09/22,4032,3024,77,1,4,18,11,3,13,1,1626,1001,3021,1981
V006_77_1_18_11_03_13_1_7688w_20200923_32.jpg,2020/09/23,4032,3024,77,1,4,18,11,3,13,1,1324,799,3341,2476
V006_77_1_18_11_03_13_1_7688w_20200923_33.jpg,2020/09/23,4032,3024,77,1,4,18,11,3,13,1,1111,850,3138,2601
V006_77_1_18_11_03_13_1_7688w_20200923_34.jpg,2020/09/23,4032,3024,77,1,4,18,11,3,13,1,1572,1015,3728,2763
V006_77_1_18_11_03_13_1_7688w_20200925_38.jpg,2020/09/25,4032,3024,77,1,4,18,11,3,13,1,836,1099,2676,2603
V006_77_1_18_11_03_13_1_7688w_20200925_40.jpg,2020/09/25,4032,3024,77,1,4,18,11,3,13,1,1456,811,3332,2167
V006_77_1_18_11_03_13_1_7688w_20200925_42.jpg,2020/09/25,4032,3024,77,1,4,18,11,3,13,1,684,459,3108,2095
V006_77_1_18_11_03_13_1_7688w_20201005_55.jpg,2020/10/05,4032,3024,77,1,4,18,11,3,13,1,952,627,3448,2587
V006_77_1_18_11_03_13_1_7688w_20201013_79.jpg,2020/10/13,4032,3024,77,1,4,18,11,3,13,1,1408,1103,2292,2295
V006_77_1_18_11_03_13_1_7688w_20201016_95.jpg,2020/10/16,4032,3024,77,1,4,18,11,3,13,1,1473,700,2765,2568
V006_77_1_18_11_03_13_1_7688w_20201103_173.jpg,2020/11/03,4032,3024,77,1,4,18,11,3,13,1,736,936,3028,2344
V006_77_1_18_11_03_13_1_7688w_20201105_188.jpg,2020/11/05,4032,3024,77,1,4,18,11,3,13,1,856,852,2684,2416
V006_77_1_18_11_03_13_1_7688w_20201109_198.jpg,2020/11/09,4032,3024,77,1,4,18,11,3,13,1,960,1004,3476,2464
V006_77_1_18_11_03_13_1_7688w_20201109_199.jpg,2020/11/09,4032,3024,77,1,4,18,11,3,13,1,532,688,2816,2452
V006_77_1_18_11_03_13_1_7688w_20201124_265.jpg,2020/11/24,4032,3024,77,1,4,18,11,3,13,1,1328,824,3148,2252
V006_77_1_18_11_03_13_1_8419w_20200916_1.jpg,2020/09/16,4032,1908,77,1,4,18,11,3,13,1,982,351,3172,1757
V006_77_1_18_11_03_13_1_8419w_20200916_2.jpg,2020/09/16,4032,1908,77,1,4,18,11,3,13,1,634,156,2508,1881
V006_77_1_18_11_03_13_1_8419w_20200916_3.jpg,2020/09/16,4032,1908,77,1,4,18,11,3,13,1,778,111,3092,1581
V006_77_1_18_11_03_13_1_8419w_20200916_4.jpg,2020/09/16,4032,1908,77,1,4,18,11,3,13,1,1030,266,2758,1342
V006_77_1_18_11_03_13_1_8419w_20200916_5.jpg,2020/09/16,4032,1908,77,1,4,18,11,3,13,1,653,273,3117,1844
V006_77_1_18_11_03_13_1_8419w_20200918_13.jpg,2020/09/18,4032,1908,77,1,4,18,11,3,13,1,601,51,3820,1824
V006_77_1_18_11_03_13_1_8419w_20200918_16.jpg,2020/09/18,4032,1908,77,1,4,18,11,3,13,1,1176,0,2843,1703
V006_77_1_18_11_03_13_1_8419w_20200918_17.jpg,2020/09/18,4032,1908,77,1,4,18,11,3,13,1,779,67,3017,1885
V006_77_1_18_11_03_13_1_8419w_20200918_20.jpg,2020/09/18,4032,1908,77,1,4,18,11,3,13,1,969,868,2586,1908
V006_77_1_18_11_03_13_1_8419w_20200920_29.jpg,2020/09/20,4032,1908,77,1,4,18,11,3,13,1,236,0,3377,1799
V006_77_1_18_11_03_13_1_8419w_20200920_30.jpg,2020/09/20,4032,1908,77,1,4,18,11,3,13,1,1044,1,2986,1898
V006_77_1_18_11_03_13_1_8419w_20200920_31.jpg,2020/09/20,4032,1908,77,1,4,18,11,3,13,1,879,9,3273,1593
V006_77_1_18_11_03_13_1_8419w_20200920_32.jpg,2020/09/20,4032,1908,77,1,4,18,11,3,13,1,812,267,3301,1764
V006_77_1_18_11_03_13_1_8419w_20200920_33.jpg,2020/09/20,4032,1908,77,1,4,18,11,3,13,1,1123,415,3427,1827
V006_77_1_18_11_03_13_1_8419w_20200920_36.jpg,2020/09/20,4032,1908,77,1,4,18,11,3,13,1,1057,215,3120,1908
V006_77_1_18_11_03_13_1_8419w_20200922_43.jpg,2020/09/22,4032,1908,77,1,4,18,11,3,13,1,934,0,3202,1908
V006_77_1_18_11_03_13_1_8419w_20200922_48.jpg,2020/09/22,4032,1908,77,1,4,18,11,3,13,1,1094,252,2927,1664
V006_77_1_18_11_03_13_1_8419w_20200924_71.jpg,2020/09/24,4032,1908,77,1,4,18,11,3,13,1,562,0,3492,1796
V006_77_1_18_11_03_13_1_8419w_20200924_72.jpg,2020/09/24,4032,1908,77,1,4,18,11,3,13,1,794,157,3097,1729
V006_77_1_18_11_03_13_1_8419w_20200928_101.jpg,2020/09/28,4032,1908,77,1,4,18,11,3,13,1,1443,0,4032,1694
V006_77_1_18_11_03_13_1_8419w_20201003_179.jpg,2020/10/03,4032,3024,77,1,4,18,11,3,13,1,1020,903,2890,2532
V006_77_1_18_11_03_13_1_8419w_20201006_119.jpg,2020/10/06,1705,3437,77,1,4,18,11,3,13,1,231,1240,1533,3337
V006_77_1_18_11_03_13_1_8419w_20201006_124.jpg,2020/10/06,1202,3090,77,1,4,18,11,3,13,1,167,1403,1168,2972
V006_77_1_18_11_03_13_1_8419w_20201006_125.jpg,2020/10/06,1769,3145,77,1,4,18,11,3,13,1,236,890,1498,3007
V006_77_1_18_11_03_13_1_8419w_20201006_126.jpg,2020/10/06,1670,2570,77,1,4,18,11,3,13,1,113,1312,1596,2438
