image,date,width,height,task,type,region,disease,crop,area,grow,risk,xtl,ytl,xbr,ybr,class_no
V006_77_0_00_11_03_12_0_c01_20201013_0000_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1481,1345,2719,3233,0
V006_77_0_00_11_03_12_0_c01_20201013_0000_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1480,1365,2710,3230,0
V006_77_0_00_11_03_12_0_c01_20201013_0001_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,3095,930,4480,2980,0
V006_77_0_00_11_03_12_0_c01_20201013_0001_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,3105,940,4475,2985,0
V006_77_0_00_11_03_12_0_c01_20201013_0002_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,2130,205,4015,2655,0
V006_77_0_00_11_03_12_0_c01_20201013_0002_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,2130,250,4015,2640,0
V006_77_0_00_11_03_12_0_c01_20201013_0003_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1755,1355,4775,3310,0
V006_77_0_00_11_03_12_0_c01_20201013_0003_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1755,1360,4775,3320,0
V006_77_0_00_11_03_12_0_c01_20201013_0004_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1220,330,4180,3400,0
V006_77_0_00_11_03_12_0_c01_20201013_0004_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1215,330,4175,3395,0
V006_77_0_00_11_03_12_0_c01_20201013_0005_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,390,645,3970,3430,0
V006_77_0_00_11_03_12_0_c01_20201013_0005_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,390,655,3960,3425,0
V006_77_0_00_11_03_12_0_c01_20201013_0006_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1255,1623,3258,3180,0
V006_77_0_00_11_03_12_0_c01_20201013_0006_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1265,1610,3274,3180,0
V006_77_0_00_11_03_12_0_c01_20201013_0007_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1045,403,3795,3677,0
V006_77_0_00_11_03_12_0_c01_20201013_0007_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1035,370,3795,3677,0
V006_77_0_00_11_03_12_0_c01_20201013_0008_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1655,260,3495,3070,0
V006_77_0_00_11_03_12_0_c01_20201013_0008_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1665,230,3495,3070,0
V006_77_0_00_11_03_12_0_c01_20201013_0009_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1215,1170,3315,2860,0
V006_77_0_00_11_03_12_0_c01_20201013_0009_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,1205,1170,3315,2860,0
V006_77_0_00_11_03_12_0_c01_20201013_0010_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,25,1190,3985,3430,0
V006_77_0_00_11_03_12_0_c01_20201013_0010_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,65,1190,3975,3430,0
V006_77_0_00_11_03_12_0_c01_20201013_0011_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,765,130,4055,2680,0
V006_77_0_00_11_03_12_0_c01_20201013_0011_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,755,130,4055,2690,0
V006_77_0_00_11_03_12_0_c01_20201013_0012_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,355,100,3625,3810,0
V006_77_0_00_11_03_12_0_c01_20201013_0012_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,340,130,3615,3810,0
V006_77_0_00_11_03_12_0_c01_20201013_0013_S01.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,2500,1260,4780,3230,0
V006_77_0_00_11_03_12_0_c01_20201013_0013_S01_1.JPG,2020/10/13,6000,4000,77,0,,0,11,3,12,0,2500,1260,4775,3225,0
