number,heightOfTheFlowerTruss,passdays
1,26.37,7
74,38.09,7
75,19.54,7
76,17.84,7
77,28.99,7
78,16.71,7
80,21.42,7
82,21.98,7
84,24.39,7
85,21.98,7
86,43.5,7
87,17.7,7
88,18.41,7
90,31.36,7
91,21.38,7
94,25.91,7
96,14.23,7
99,35.4,7
39,22.16,7
39,13.504999999999999,7
38,24.53,7
37,13.504999999999999,7
36,2.44,7
35,13.504999999999999,7
73,29.59,7
34,4.0,7
32,13.504999999999999,7
31,13.504999999999999,7
28,13.504999999999999,7
100,16.57,7
100,13.84,7
100,16.67,7
33,13.504999999999999,7
72,31.4,7
71,20.14,7
17,4.88,7
2,4.6,7
4,2.34,7
5,2.09,7
6,13.504999999999999,7
10,1.95,7
11,2.41,7
13,3.12,7
16,2.8,7
18,7.89,7
19,1.77,7
20,2.41,7
21,2.41,7
1,25.24,7
23,13.504999999999999,7
25,13.504999999999999,7
26,13.504999999999999,7
27,2.16,7
22,2.55,7
68,18.97,8
65,21.98,8
64,34.87,8
63,20.99,8
62,22.19,8
70,27.5,8
69,29.56,8
61,28.64,8
11,28.74,9
10,26.65,9
9,23.68,9
12,18.12,9
13,30.65,9
8,21.35,9
7,13.504999999999999,9
18,29.2,9
2,32.99,9
4,6.23,9
3,38.83,9
11,35.47,9
12,8.81,9
29,22.83,10
34,21.88,10
33,27.72,10
27,22.76,10
26,26.83,10
23,34.12,10
35,37.03,10
39,36.11,10
41,40.88,10
42,33.66,10
44,16.42,10
48,24.99,10
49,13.504999999999999,10
46,31.5,10
55,1.81,10
21,32.64,10
22,28.21,10
70,15.68,10
52,36.14,10
67,24.64,10
67,24.71,10
68,15.93,10
62,3.36,10
59,22.23,10
58,16.64,10
57,18.69,10
66,9.1,10
75,33.84,11
79,18.02,11
76,20.6,11
77,20.67,11
78,18.19,11
80,14.34,11
91,12.57,11
82,5.49,11
100,9.63,11
98,27.19,11
97,14.19,11
81,35.75,11
92,28.64,11
91,37.49,11
95,16.71,11
89,13.98,11
87,23.68,11
85,13.504999999999999,11
84,20.74,11
83,13.06,11
19,38.44,16
18,44.99,16
17,19.93,16
3,33.56,16
1,5.17,16
2,1.88,16
4,2.58,16
24,17.17,16
6,4.46,16
2,13.504999999999999,16
1,25.06,16
5,26.16,16
5,13.504999999999999,16
6,42.02,16
7,13.504999999999999,16
8,13.504999999999999,16
9,20.88,16
10,20.96,16
10,22.83,16
11,13.504999999999999,16
11,35.5,16
5,1.91,16
11,22.87,16
13,20.99,16
13,20.78,16
15,38.19,16
16,39.79,16
17,21.38,16
20,26.97,16
24,18.51,16
10,6.09,16
10,5.84,16
9,1.84,16
8,1.88,16
7,2.05,16
11,21.59,16
20,22.97,16
3,13.504999999999999,16
21,13.504999999999999,16
27,42.94,16
29,38.3,16
30,20.0,16
21,16.6,16
26,19.29,16
25,26.9,16
27,19.79,16
25,26.94,16
30,25.24,16
31,10.3,16
25,26.48,16
36,16.88,17
39,27.79,17
39,25.31,17
41,30.37,17
41,31.04,17
41,31.82,17
36,20.39,17
38,23.79,17
41,31.04,17
35,36.11,17
42,31.33,17
43,19.47,17
44,16.35,17
44,15.33,17
44,16.42,17
45,31.22,17
51,29.95,17
50,23.54,17
49,30.65,17
48,16.57,17
48,16.74,17
46,24.5,17
41,39.43,17
34,32.11,17
51,27.15,17
33,28.88,17
68,17.7,17
67,13.504999999999999,17
67,25.27,17
66,19.22,17
66,18.02,17
65,25.63,17
64,26.69,17
64,28.11,17
63,34.55,17
62,22.23,17
61,17.98,17
61,18.34,17
60,27.29,17
59,26.87,17
59,29.49,17
57,18.37,17
57,18.9,17
56,29.35,17
55,32.46,17
54,28.53,17
53,15.82,17
52,31.89,17
46,25.56,17
34,35.68,17
45,28.28,17
33,1.88,18
37,2.41,18
70,13.504999999999999,18
72,21.2,18
72,13.504999999999999,18
73,15.04,18
73,13.504999999999999,18
74,27.04,18
74,13.504999999999999,18
75,13.504999999999999,18
11,4.07,18
15,1.98,18
17,1.98,18
19,1.7,18
20,1.84,18
38,3.29,18
20,2.05,18
21,1.91,18
23,3.79,18
25,1.84,18
26,1.13,18
27,1.59,18
28,2.55,18
31,3.29,18
32,3.01,18
33,1.88,18
34,7.93,18
35,21.03,18
35,21.35,18
36,2.9,18
20,2.02,18
69,29.24,18
43,25.84,19
49,31.04,19
49,31.04,19
60,4.07,19
60,4.04,19
57,2.83,19
55,7.58,19
53,3.12,19
53,1.73,19
53,2.97,19
52,13.81,19
51,10.83,19
50,13.504999999999999,19
49,8.0,19
41,16.35,19
58,1.42,19
42,8.99,19
41,15.86,19
48,13.31,19
48,14.19,19
46,13.504999999999999,19
45,10.23,19
44,10.16,19
44,13.504999999999999,19
46,6.48,19
44,13.504999999999999,19
43,9.1,19
48,14.05,19
44,10.09,19
78,5.31,20
78,5.06,20
74,2.3,20
78,5.03,20
76,19.54,20
76,19.61,20
75,5.17,20
74,3.54,20
74,2.34,20
75,13.504999999999999,20
79,6.94,20
76,11.4,20
79,7.08,20
81,7.5,20
79,7.12,20
80,4.71,20
81,4.88,20
81,4.71,20
82,2.62,20
82,3.33,20
82,3.47,20
83,8.28,20
83,8.28,20
73,13.504999999999999,20
84,21.81,20
83,8.67,20
84,17.45,20
84,21.81,20
79,6.87,20
73,3.93,20
71,2.73,20
72,2.9,20
61,1.77,20
73,13.504999999999999,20
62,3.72,20
63,24.81,20
63,11.08,20
65,4.35,20
65,6.12,20
65,4.35,20
65,6.37,20
66,5.7,20
66,6.76,20
66,6.73,20
61,1.77,20
67,26.09,20
67,26.19,20
71,2.73,20
71,3.01,20
70,3.15,20
70,3.08,20
71,3.04,20
69,2.94,20
68,10.05,20
68,7.65,20
68,10.05,20
69,2.05,20
90,2.37,21
94,2.23,21
93,14.27,21
93,23.75,21
92,11.47,21
92,27.43,21
91,1.77,21
91,1.63,21
90,2.58,21
85,3.01,21
88,5.73,21
86,3.4,21
86,2.87,21
96,1.73,21
85,2.27,21
95,22.58,21
99,2.3,21
99,2.09,21
96,2.16,21
90,2.37,21
94,1.7,21
100,5.73,21
100,6.51,21
30,31.58,21
28,6.76,21
27,11.26,21
25,4.85,21
22,1.88,21
21,24.85,21
20,2.97,21
18,6.73,21
17,13.56,21
15,12.32,21
18,6.87,21
12,2.3,21
11,19.93,21
10,5.52,21
8,11.79,21
6,22.44,21
6,19.01,21
5,9.91,21
3,18.65,21
1,5.88,21
13,2.09,21
54,3.96,22
47,20.85,22
50,1.63,22
52,20.04,22
55,3.82,22
53,7.19,22
58,2.37,22
59,6.44,22
60,4.35,22
46,11.65,22
56,13.66,22
44,5.52,22
40,10.37,22
42,7.43,22
41,6.48,22
37,12.64,22
36,9.95,22
35,14.09,22
34,1.03,22
33,27.68,22
32,5.27,22
43,1.84,22
75,14.94,23
75,13.73,23
75,18.41,23
76,7.65,23
76,13.45,23
77,6.23,23
78,4.53,23
81,9.66,23
80,13.63,23
80,13.45,23
81,8.11,23
82,9.13,23
84,7.86,23
83,8.5,23
73,12.28,23
79,5.1,23
73,13.03,23
1,13.504999999999999,23
71,19.47,23
20,13.42,23
85,2.94,23
61,24.32,23
62,23.79,23
64,20.04,23
65,21.98,23
66,5.84,23
67,3.15,23
67,39.15,23
68,30.9,23
69,16.85,23
69,11.79,23
70,11.12,23
70,15.54,23
71,14.9,23
72,5.31,23
85,23.29,23
86,16.0,23
86,6.09,23
20,13.504999999999999,23
20,13.504999999999999,23
21,22.3,23
22,36.04,23
22,36.46,23
24,17.88,23
25,43.54,23
19,14.34,23
25,48.5,23
26,20.78,23
27,13.504999999999999,23
27,12.53,23
28,13.504999999999999,23
28,19.93,23
30,13.504999999999999,23
30,30.94,23
26,38.12,23
31,30.44,23
18,21.63,23
17,13.504999999999999,23
2,17.49,23
2,13.504999999999999,23
4,13.504999999999999,23
4,32.0,23
5,24.53,23
6,36.42,23
7,13.504999999999999,23
17,28.78,23
7,30.58,23
8,12.67,23
9,15.86,23
10,13.504999999999999,23
11,14.97,23
13,13.504999999999999,23
13,36.74,23
15,13.504999999999999,23
8,41.81,23
1,21.81,23
32,29.73,23
36,35.58,23
97,14.97,23
97,7.65,23
96,8.92,23
95,24.04,23
95,6.34,23
94,6.97,23
93,15.33,23
98,17.35,23
93,5.45,23
92,4.28,23
91,13.504999999999999,23
90,3.47,23
89,15.75,23
89,14.16,23
88,5.35,23
87,18.69,23
92,31.68,23
35,31.89,23
99,8.57,23
1,18.05,23
36,13.504999999999999,23
37,16.6,23
39,22.69,23
40,46.19,23
10,24.46,23
10,24.42,23
9,11.22,23
9,11.26,23
8,11.29,23
7,2.55,23
6,1.59,23
6,1.52,23
4,3.19,23
4,33.63,23
3,6.19,23
8,11.29,23
14,13.504999999999999,23
75,20.11,24
76,13.504999999999999,24
64,53.35,24
50,16.57,24
51,13.504999999999999,24
51,23.15,24
69,24.11,24
52,13.504999999999999,24
52,37.77,24
68,14.05,24
54,43.33,24
68,13.504999999999999,24
55,39.61,24
56,13.504999999999999,24
56,25.73,24
57,15.19,24
59,13.504999999999999,24
59,17.98,24
60,46.02,24
60,18.27,24
61,37.42,24
61,15.22,24
49,33.59,24
63,57.31,24
49,13.504999999999999,24
47,13.504999999999999,24
65,23.65,24
67,13.504999999999999,24
67,16.88,24
75,13.504999999999999,24
41,20.39,24
43,11.79,24
74,17.91,24
74,13.504999999999999,24
73,15.36,24
73,13.504999999999999,24
72,12.42,24
45,13.504999999999999,24
72,32.53,24
45,16.78,24
71,13.504999999999999,24
46,13.504999999999999,24
46,18.94,24
70,16.39,24
70,13.504999999999999,24
48,27.26,24
64,22.3,24
31,1.31,25
32,25.06,25
28,3.61,25
29,6.9,25
30,6.02,25
26,4.96,25
32,25.03,25
35,17.52,25
35,17.45,25
36,1.7,25
38,13.504999999999999,25
39,9.7,25
40,1.52,25
27,31.47,25
25,7.54,25
23,1.95,25
23,1.95,25
