,heightOfTheFlowerTruss,passdays
18962,26.37,7
17539,38.09,7
17540,19.54,7
17541,17.84,7
17542,28.99,7
17543,16.71,7
17544,21.42,7
17545,21.98,7
17546,24.39,7
17547,21.98,7
17548,43.5,7
17549,17.7,7
17550,18.41,7
17551,31.36,7
17552,21.38,7
17553,25.91,7
17554,14.23,7
17555,35.4,7
18992,22.16,7
18991,13.504999999999999,7
18990,24.53,7
18989,13.504999999999999,7
18988,2.44,7
18987,13.504999999999999,7
17538,29.59,7
18986,4.0,7
18984,13.504999999999999,7
18983,13.504999999999999,7
18982,13.504999999999999,7
17558,16.57,7
17557,13.84,7
17556,16.67,7
18985,13.504999999999999,7
17537,31.4,7
17536,20.14,7
18972,4.88,7
18964,4.6,7
18965,2.34,7
18966,2.09,7
18967,13.504999999999999,7
18968,1.95,7
18969,2.41,7
18970,3.12,7
18971,2.8,7
18973,7.89,7
18974,1.77,7
18975,2.41,7
18976,2.41,7
18963,25.24,7
18978,13.504999999999999,7
18979,13.504999999999999,7
18980,13.504999999999999,7
18981,2.16,7
18977,2.55,7
17533,18.97,8
17532,21.98,8
17531,34.87,8
17530,20.99,8
17529,22.19,8
17535,27.5,8
17534,29.56,8
17528,28.64,8
20753,28.74,9
20752,26.65,9
20751,23.68,9
20756,18.12,9
20757,30.65,9
20750,21.35,9
20749,13.504999999999999,9
20758,29.2,9
20746,32.99,9
20748,6.23,9
20747,38.83,9
20754,35.47,9
20755,8.81,9
20764,22.83,10
20766,21.88,10
20765,27.72,10
20763,22.76,10
20762,26.83,10
20761,34.12,10
20767,37.03,10
20768,36.11,10
20769,40.88,10
20770,33.66,10
20771,16.42,10
20773,24.99,10
20774,13.504999999999999,10
20772,31.5,10
20776,1.81,10
20759,32.64,10
20760,28.21,10
20785,15.68,10
20775,36.14,10
20783,24.64,10
20782,24.71,10
20784,15.93,10
20780,3.36,10
20779,22.23,10
20778,16.64,10
20777,18.69,10
20781,9.1,10
20877,33.84,11
20881,18.02,11
20878,20.6,11
20879,20.67,11
20880,18.19,11
20882,14.34,11
20890,12.57,11
20884,5.49,11
20896,9.63,11
20895,27.19,11
20894,14.19,11
20883,35.75,11
20892,28.64,11
20891,37.49,11
20893,16.71,11
20889,13.98,11
20888,23.68,11
20887,13.504999999999999,11
20886,20.74,11
20885,13.06,11
20809,38.44,16
20808,44.99,16
20807,19.93,16
20788,33.56,16
20155,5.17,16
20156,1.88,16
20157,2.58,16
20814,17.17,16
20159,4.46,16
20787,13.504999999999999,16
20786,25.06,16
20790,26.16,16
20791,13.504999999999999,16
20792,42.02,16
20793,13.504999999999999,16
20794,13.504999999999999,16
20795,20.88,16
20796,20.96,16
20797,22.83,16
20798,13.504999999999999,16
20799,35.5,16
20158,1.91,16
20800,22.87,16
20802,20.99,16
20803,20.78,16
20804,38.19,16
20805,39.79,16
20806,21.38,16
20810,26.97,16
20815,18.51,16
20164,6.09,16
20163,5.84,16
20162,1.84,16
20161,1.88,16
20160,2.05,16
20801,21.59,16
20811,22.97,16
20789,13.504999999999999,16
20813,13.504999999999999,16
20821,42.94,16
20822,38.3,16
20823,20.0,16
20812,16.6,16
20819,19.29,16
20818,26.9,16
20820,19.79,16
20816,26.94,16
20824,25.24,16
20825,10.3,16
20817,26.48,16
20831,16.88,17
20833,27.79,17
20834,25.31,17
20835,30.37,17
20836,31.04,17
20837,31.82,17
20830,20.39,17
20832,23.79,17
20839,31.04,17
20829,36.11,17
20840,31.33,17
20841,19.47,17
20842,16.35,17
20843,15.33,17
20844,16.42,17
20845,31.22,17
20853,29.95,17
20852,23.54,17
20851,30.65,17
20850,16.57,17
20849,16.74,17
20848,24.5,17
20838,39.43,17
20828,32.11,17
20854,27.15,17
20826,28.88,17
20876,17.7,17
20875,13.504999999999999,17
20874,25.27,17
20873,19.22,17
20872,18.02,17
20871,25.63,17
20870,26.69,17
20869,28.11,17
20868,34.55,17
20867,22.23,17
20866,17.98,17
20865,18.34,17
20864,27.29,17
20863,26.87,17
20862,29.49,17
20861,18.37,17
20860,18.9,17
20859,29.35,17
20858,32.46,17
20857,28.53,17
20856,15.82,17
20855,31.89,17
20847,25.56,17
20827,35.68,17
20846,28.28,17
20193,1.88,18
20199,2.41,18
20980,13.504999999999999,18
20984,21.2,18
20985,13.504999999999999,18
20988,15.04,18
20989,13.504999999999999,18
20992,27.04,18
20993,13.504999999999999,18
20996,13.504999999999999,18
20178,4.07,18
20179,1.98,18
20180,1.98,18
20181,1.7,18
20182,1.84,18
20200,3.29,18
20183,2.05,18
20185,1.91,18
20186,3.79,18
20187,1.84,18
20188,1.13,18
20189,1.59,18
20190,2.55,18
20191,3.29,18
20192,3.01,18
20194,1.88,18
20195,7.93,18
20196,21.03,18
20197,21.35,18
20198,2.9,18
20184,2.02,18
20978,29.24,18
20204,25.84,19
20216,31.04,19
20217,31.04,19
20229,4.07,19
20228,4.04,19
20226,2.83,19
20225,7.58,19
20224,3.12,19
20223,1.73,19
20222,2.97,19
20221,13.81,19
20220,10.83,19
20219,13.504999999999999,19
20218,8.0,19
20201,16.35,19
20227,1.42,19
20203,8.99,19
20202,15.86,19
20214,13.31,19
20213,14.19,19
20211,13.504999999999999,19
20210,10.23,19
20209,10.16,19
20208,13.504999999999999,19
20212,6.48,19
20206,13.504999999999999,19
