,farm_id,number,date,plantHeight,weeklyGrowth
0,tom1,001,20210930,37.1,37.1
1,tom1,006,20210930,35.15,35.15
2,tom1,010,20210930,38.69,38.69
3,tom1,011,20210930,43.58,43.58
4,tom1,011,20210930,,
5,tom1,012,20210930,35.47,35.47
6,tom1,013,20210930,42.62,42.62
7,tom1,014,20210930,38.62,38.62
8,tom1,015,20210930,40.74,40.74
9,tom1,016,20210930,42.97,42.97
10,tom1,017,20210930,,
11,tom1,018,20210930,40.6,40.6
12,tom1,019,20210930,33.66,33.66
13,tom1,020,20210930,,
14,tom1,023,20210930,41.35,41.35
15,tom1,024,20210930,,
16,tom1,025,20210930,34.97,34.97
17,tom1,027,20210930,37.06,37.06
18,tom1,028,20210930,36.46,36.46
19,tom1,029,20210930,40.64,40.64
20,tom1,033,20211002,38.94,38.94
21,tom1,033,20211002,28.64,28.64
22,tom1,034,20211002,38.9,38.9
23,tom1,035,20211002,,
24,tom1,035,20211002,30.58,30.58
25,tom1,036,20211002,29.52,29.52
26,tom1,037,20211002,44.92,44.92
27,tom1,038,20211001,40.57,40.57
28,tom1,039,20211001,39.54,39.54
29,tom1,040,20211001,35.22,35.22
30,tom1,041,20211001,32.04,32.04
31,tom1,042,20211001,36.5,36.5
32,tom1,043,20211001,30.16,30.16
33,tom1,047,20211001,37.7,37.7
34,tom1,048,20211001,40.0,40.0
35,tom1,050,20211001,37.84,37.84
36,tom1,051,20211001,38.23,38.23
37,tom1,052,20211001,31.89,31.89
38,tom1,053,20211001,44.88,44.88
39,tom1,056,20211001,41.59,41.59
40,tom1,057,20211001,39.08,39.08
41,tom1,058,20211001,31.54,31.54
42,tom1,058,20211001,34.02,34.02
43,tom1,059,20211001,33.88,33.88
44,tom1,060,20211001,38.19,38.19
45,tom1,061,20211002,33.35,33.35
46,tom1,062,20211002,30.41,30.41
47,tom1,064,20211002,31.82,31.82
48,tom1,067,20211002,30.73,30.73
49,tom1,069,20211002,22.34,22.34
50,tom1,070,20211002,36.71,36.71
51,tom1,071,20211002,24.71,24.71
52,tom1,072,20211002,34.9,34.9
53,tom1,073,20211002,31.12,31.12
54,tom1,074,20211002,26.16,26.16
55,tom1,075,20211002,26.19,26.19
56,tom1,075,20211002,32.28,32.28
57,tom1,076,20211002,30.3,30.3
58,tom1,077,20211002,40.35,40.35
59,tom1,078,20211002,33.95,33.95
60,tom1,080,20211002,34.12,34.12
61,tom1,081,20211002,39.12,39.12
62,tom1,082,20211002,27.36,27.36
63,tom1,083,20211002,30.05,30.05
64,tom1,084,20211002,47.01,47.01
65,tom1,085,20211002,38.97,38.97
66,tom1,086,20211002,45.17,45.17
67,tom1,087,20211002,37.2,37.2
68,tom1,088,20211002,31.79,31.79
69,tom1,089,20211002,33.66,33.66
70,tom1,091,20211002,49.06,49.06
71,tom1,096,20211002,29.06,29.06
72,tom1,097,20211002,31.65,31.65
73,tom1,098,20211002,30.51,30.51
74,tom1,002,20211006,31.12,31.12
75,tom1,003,20211006,35.04,35.04
76,tom1,004,20211006,31.68,31.68
77,tom1,005,20211006,28.64,28.64
78,tom1,008,20211006,32.32,32.32
79,tom1,011,20211006,27.15,27.15
80,tom1,012,20211006,20.64,20.64
81,tom1,013,20211006,42.69,42.69
82,tom1,014,20211006,20.57,20.57
83,tom1,015,20211006,26.65,26.65
84,tom1,020,20211006,26.76,26.76
85,tom1,023,20211007,33.52,33.52
86,tom1,024,20211007,30.19,30.19
87,tom1,027,20211007,24.85,24.85
88,tom1,029,20211007,25.13,25.13
89,tom1,030,20211007,29.52,29.52
90,tom1,031,20211007,26.87,26.87
91,tom1,033,20211007,28.32,28.32
92,tom1,034,20211007,27.86,27.86
93,tom1,035,20211007,15.15,15.15
94,tom1,036,20211007,19.43,19.43
95,tom1,040,20211007,29.27,29.27
96,tom1,041,20211007,30.23,30.23
97,tom1,042,20211007,14.83,14.83
98,tom1,043,20211007,28.42,28.42
99,tom1,044,20211007,29.73,29.73
100,tom1,044,20211007,26.48,26.48
101,tom1,046,20211007,25.88,25.88
102,tom1,047,20211007,27.47,27.47
103,tom1,049,20211007,30.16,30.16
104,tom1,050,20211007,,
105,tom1,051,20211008,17.91,17.91
106,tom1,051,20211008,21.52,21.52
107,tom1,051,20211008,20.46,20.46
108,tom1,052,20211008,19.89,19.89
109,tom1,052,20211008,18.55,18.55
110,tom1,052,20211008,24.64,24.64
111,tom1,052,20211008,24.42,24.42
112,tom1,052,20211008,29.2,29.2
113,tom1,053,20211008,30.58,30.58
114,tom1,053,20211008,31.75,31.75
115,tom1,054,20211008,6.97,6.97
116,tom1,054,20211008,8.78,8.78
117,tom1,054,20211008,26.97,26.97
118,tom1,055,20211008,30.8,30.8
119,tom1,055,20211008,33.95,33.95
120,tom1,055,20211008,29.35,29.35
121,tom1,055,20211008,28.64,28.64
122,tom1,055,20211008,26.34,26.34
123,tom1,056,20211008,26.97,26.97
124,tom1,057,20211008,28.42,28.42
125,tom1,057,20211008,32.53,32.53
126,tom1,058,20211008,22.94,22.94
127,tom1,058,20211008,27.86,27.86
128,tom1,058,20211008,27.19,27.19
129,tom1,060,20211008,20.88,20.88
130,tom1,060,20211008,20.96,20.96
131,tom1,062,20211008,26.37,26.37
132,tom1,062,20211008,27.43,27.43
133,tom1,062,20211008,29.52,29.52
134,tom1,062,20211008,34.69,34.69
135,tom1,062,20211008,37.2,37.2
136,tom1,064,20211008,31.54,31.54
137,tom1,065,20211008,19.19,19.19
138,tom1,065,20211008,23.54,23.54
139,tom1,065,20211008,23.19,23.19
140,tom1,066,20211008,26.12,26.12
141,tom1,067,20211008,22.69,22.69
142,tom1,067,20211008,18.83,18.83
143,tom1,068,20211008,20.28,20.28
144,tom1,068,20211008,21.63,21.63
145,tom1,068,20211008,4.32,4.32
146,tom1,069,20211008,15.86,15.86
147,tom1,069,20211008,16.5,16.5
148,tom1,070,20211008,22.69,22.69
149,tom1,070,20211008,27.82,27.82
150,tom1,071,20211009,25.95,25.95
151,tom1,071,20211009,27.01,27.01
152,tom1,071,20211009,23.68,23.68
153,tom1,072,20211009,35.08,35.08
154,tom1,073,20211009,30.05,30.05
155,tom1,073,20211009,27.47,27.47
156,tom1,074,20211009,28.99,28.99
157,tom1,076,20211009,33.63,33.63
158,tom1,076,20211009,34.58,34.58
159,tom1,076,20211009,39.04,39.04
160,tom1,077,20211009,27.5,27.5
161,tom1,078,20211009,24.92,24.92
