,farm_id,number,date,stemDiameter
0,tom1,061,20210909,0.69
1,tom1,065,20210909,0.69
2,tom1,068,20210909,0.85
3,tom1,070,20210909,0.96
4,tom1,076,20210908,0.99
5,tom1,081,20210908,0.28
6,tom1,084,20210908,0.88
7,tom1,085,20210908,0.57
8,tom1,086,20210908,1.1
9,tom1,087,20210908,0.78
10,tom1,088,20210908,0.42
11,tom1,091,20210908,0.57
12,tom1,092,20210908,1.66
13,tom1,093,20210908,0.81
14,tom1,094,20210908,0.53
15,tom1,095,20210908,0.73
16,tom1,097,20210908,0.42
17,tom1,098,20210908,1.06
18,tom1,098,20210908,1.31
19,tom1,099,20210908,1.13
20,tom1,100,20210908,1.2
21,tom1,100,20210908,1.39
22,tom1,001,20210930,1.79
23,tom1,003,20210930,2.34
24,tom1,004,20210930,1.89
25,tom1,007,20210930,1.3
26,tom1,008,20210930,1.78
27,tom1,009,20210930,2.58
28,tom1,010,20210930,1.97
29,tom1,011,20210930,1.12
30,tom1,011,20210930,1.59
31,tom1,012,20210930,1.38
32,tom1,014,20210930,1.35
33,tom1,016,20210930,0.64
34,tom1,017,20210930,1.17
35,tom1,019,20210930,0.88
36,tom1,020,20210930,1.63
37,tom1,021,20210930,1.38
38,tom1,022,20210930,1.63
39,tom1,023,20210930,1.84
40,tom1,024,20210930,1.56
41,tom1,026,20210930,1.91
42,tom1,027,20210930,1.81
43,tom1,030,20210930,1.45
44,tom1,031,20211002,1.2
45,tom1,032,20211002,1.24
46,tom1,033,20211002,2.0
47,tom1,034,20211002,1.01
48,tom1,035,20211002,1.24
49,tom1,037,20211002,1.3
50,tom1,038,20211001,1.81
51,tom1,040,20211001,1.58
52,tom1,041,20211001,1.53
53,tom1,042,20211001,1.35
54,tom1,044,20211001,1.56
55,tom1,045,20211001,1.35
56,tom1,046,20211001,1.52
57,tom1,049,20211001,1.42
58,tom1,050,20211001,1.66
59,tom1,051,20211001,1.42
60,tom1,053,20211001,1.27
61,tom1,054,20211001,1.06
62,tom1,056,20211001,1.58
63,tom1,057,20211001,1.42
64,tom1,058,20211001,
65,tom1,058,20211001,1.45
66,tom1,059,20211001,1.52
67,tom1,060,20211001,1.49
68,tom1,061,20211002,1.88
69,tom1,062,20211002,1.63
70,tom1,064,20211002,1.31
71,tom1,066,20211002,1.35
72,tom1,067,20211002,1.31
73,tom1,068,20211002,1.52
74,tom1,069,20211002,1.45
75,tom1,070,20211002,1.17
76,tom1,072,20211002,1.31
77,tom1,074,20211002,1.1
78,tom1,075,20211002,1.13
79,tom1,075,20211002,1.59
80,tom1,076,20211002,1.38
81,tom1,077,20211002,1.73
82,tom1,079,20211002,2.12
83,tom1,081,20211002,1.7
84,tom1,082,20211002,1.56
85,tom1,084,20211002,2.02
86,tom1,086,20211002,2.16
87,tom1,087,20211002,2.13
88,tom1,088,20211002,1.7
89,tom1,090,20211002,1.95
90,tom1,091,20211002,1.5
91,tom1,092,20211002,1.73
92,tom1,093,20211002,1.49
93,tom1,094,20211002,1.38
94,tom1,096,20211002,0.53
95,tom1,097,20211002,1.27
96,tom1,098,20211002,0.88
97,tom1,001,20211006,1.49
98,tom1,002,20211006,1.03
99,tom1,002,20211006,0.88
100,tom1,003,20211006,1.61
101,tom1,005,20211006,1.63
102,tom1,006,20211006,0.96
103,tom1,007,20211006,0.67
104,tom1,009,20211006,1.06
105,tom1,010,20211006,1.2
106,tom1,011,20211006,1.31
107,tom1,012,20211006,1.31
108,tom1,013,20211006,2.51
109,tom1,016,20211006,0.87
110,tom1,017,20211006,1.22
111,tom1,018,20211006,0.9
112,tom1,019,20211006,0.64
113,tom1,020,20211006,1.06
114,tom1,021,20211007,1.31
115,tom1,023,20211007,1.85
116,tom1,024,20211007,1.27
117,tom1,025,20211007,1.08
118,tom1,027,20211007,1.03
119,tom1,028,20211007,1.31
120,tom1,029,20211007,1.33
121,tom1,030,20211007,0.81
122,tom1,031,20211007,1.31
123,tom1,032,20211007,1.59
124,tom1,033,20211007,1.1
125,tom1,034,20211007,1.38
126,tom1,035,20211007,1.03
127,tom1,037,20211007,0.65
128,tom1,041,20211007,0.77
129,tom1,042,20211007,1.17
130,tom1,044,20211007,1.49
131,tom1,044,20211007,1.24
132,tom1,046,20211007,1.56
133,tom1,047,20211007,1.65
134,tom1,048,20211007,1.92
135,tom1,049,20211007,1.79
136,tom1,050,20211007,0.67
137,tom1,051,20211008,1.1
138,tom1,052,20211008,0.64
139,tom1,056,20211008,0.64
140,tom1,057,20211008,0.74
141,tom1,058,20211008,1.59
142,tom1,059,20211008,1.3
143,tom1,060,20211008,0.89
144,tom1,061,20211008,2.34
145,tom1,062,20211008,1.33
146,tom1,063,20211008,0.71
147,tom1,064,20211008,0.74
148,tom1,066,20211008,1.66
149,tom1,067,20211008,1.2
150,tom1,069,20211008,1.38
151,tom1,070,20211008,1.2
152,tom1,071,20211009,0.92
153,tom1,072,20211009,0.93
154,tom1,073,20211009,1.49
155,tom1,074,20211009,1.42
156,tom1,076,20211009,0.71
157,tom1,077,20211009,0.81
158,tom1,078,20211009,0.88
159,tom1,079,20211009,1.7
160,tom1,080,20211009,1.2
161,tom1,081,20211009,0.96
162,tom1,082,20211009,1.03
163,tom1,085,20211009,1.63
164,tom1,086,20211009,1.13
165,tom1,089,20211009,0.74
166,tom1,091,20211009,0.53
167,tom1,094,20211009,1.1
168,tom1,095,20211009,1.34
169,tom1,096,20211009,1.49
170,tom1,097,20211009,0.71
171,tom1,098,20211009,1.27
172,tom1,001,20211011,1.35
173,tom1,004,20211011,0.89
174,tom1,006,20211011,1.49
175,tom1,008,20211011,1.49
176,tom1,010,20211011,0.74
177,tom1,011,20211011,1.61
178,tom1,012,20211011,1.59
179,tom1,014,20211011,1.2
180,tom1,015,20211011,2.16
181,tom1,016,20211011,0.98
182,tom1,029,20211012,1.17
183,tom1,030,20211012,0.4
184,tom1,032,20211012,0.96
185,tom1,035,20211012,0.81
186,tom1,037,20211012,0.78
187,tom1,038,20211012,0.57
188,tom1,039,20211012,1.68
189,tom1,040,20211012,1.56
190,tom1,041,20211013,1.63
191,tom1,048,20211013,1.33
192,tom1,049,20211013,1.4
193,tom1,050,20211013,1.06
194,tom1,061,20211014,0.74
195,tom1,062,20211014,0.65
196,tom1,069,20211014,0.85
197,tom1,077,20211014,1.39
198,tom1,078,20211014,1.54
199,tom1,079,20211014,0.85
200,tom1,084,20211015,1.76
201,tom1,087,20211015,0.0
202,tom1,091,20211015,1.26
203,tom1,092,20211015,0.64
204,tom1,097,20211015,1.17
205,tom1,098,20211015,1.37
206,tom1,099,20211015,1.52
207,tom1,001,20211018,0.85
208,tom1,002,20211018,0.85
209,tom1,003,20211018,1.1
210,tom1,006,20211018,1.52
211,tom1,007,20211018,1.84
212,tom1,008,20211018,1.42
213,tom1,010,20211018,1.17
214,tom1,012,20211018,1.52
215,tom1,014,20211018,1.31
216,tom1,015,20211018,1.42
217,tom1,016,20211018,1.38
218,tom1,017,20211018,0.57
219,tom1,018,20211018,1.12
220,tom1,019,20211018,1.25
221,tom1,021,20211019,1.38
222,tom1,022,20211019,1.06
223,tom1,023,20211019,1.27
224,tom1,024,20211019,1.17
225,tom1,026,20211019,0.74
226,tom1,028,20211019,1.38
