,farm_id,number,date,floweringNode,numberOfTheFlower,numberOfTheFlowerPerTruss
0,tom1,063,20220101,16,5,16
1,tom1,063,20220101,16,4,16
2,tom1,063,20220101,16,4,16
3,tom1,063,20220101,16,5,16
4,tom1,063,20220101,16,5,16
5,tom1,065,20220101,17,4,17
6,tom1,065,20220101,17,4,17
7,tom1,065,20220101,17,5,17
8,tom1,065,20220101,17,5,17
9,tom1,073,20220101,17,5,17
10,tom1,073,20220101,17,5,17
11,tom1,073,20220101,17,5,17
12,tom1,075,20220101,17,3,17
13,tom1,075,20220101,17,4,17
14,tom1,075,20220101,17,4,17
15,tom1,075,20220101,17,4,17
16,tom1,079,20220101,16,3,16
17,tom1,079,20220101,16,3,16
18,tom1,080,20220101,16,4,16
19,tom1,080,20220101,16,4,16
20,tom1,080,20220101,16,4,16
21,tom1,080,20220101,16,4,16
22,tom1,085,20220101,17,3,17
23,tom1,085,20220101,17,3,17
24,tom1,085,20220101,17,3,17
25,tom1,087,20220101,16,4,16
26,tom1,087,20220101,16,3,16
27,tom1,090,20220102,14,5,14
28,tom1,090,20220102,14,4,14
29,tom1,090,20220102,14,4,14
30,tom1,091,20220102,15,4,15
31,tom1,091,20220102,15,4,15
32,tom1,091,20220102,15,3,15
33,tom1,093,20220102,17,3,17
34,tom1,093,20220102,17,3,17
35,tom1,093,20220102,17,3,17
36,tom1,093,20220102,17,3,17
37,tom1,095,20220102,16,4,16
38,tom1,095,20220102,16,4,16
39,tom1,098,20220102,16,4,16
40,tom1,065,20210909,6,5,6
41,tom1,066,20210909,6,7,6
42,tom1,073,20210908,6,5,6
43,tom1,078,20210908,6,5,6
44,tom1,084,20210908,6,4,6
45,tom1,091,20210908,6,3,6
46,tom1,093,20210908,6,3,6
47,tom1,096,20210908,6,1,6
48,tom1,098,20210908,6,3,6
49,tom1,100,20210908,6,3,6
50,tom1,001,20210930,9,3,9
51,tom1,002,20210930,8,4,8
52,tom1,003,20210930,9,4,9
53,tom1,004,20210930,8,4,8
54,tom1,006,20210930,9,6,9
55,tom1,008,20210930,9,4,9
56,tom1,009,20210930,9,3,9
57,tom1,010,20210930,9,4,9
58,tom1,012,20210930,9,4,9
59,tom1,013,20210930,8,3,8
60,tom1,016,20210930,8,4,8
61,tom1,017,20210930,9,3,9
62,tom1,019,20210930,9,3,9
63,tom1,021,20210930,9,3,9
64,tom1,022,20210930,8,3,8
65,tom1,023,20210930,9,3,9
66,tom1,024,20210930,9,4,9
67,tom1,026,20210930,9,4,9
68,tom1,027,20210930,9,4,9
69,tom1,030,20210930,9,3,9
70,tom1,038,20211001,9,3,9
71,tom1,039,20211001,9,4,9
72,tom1,041,20211001,9,4,9
73,tom1,043,20211001,9,3,9
74,tom1,044,20211001,9,3,9
75,tom1,045,20211001,9,2,9
76,tom1,046,20211001,9,2,9
77,tom1,049,20211001,9,3,9
78,tom1,052,20211001,8,3,8
79,tom1,053,20211001,9,3,9
80,tom1,055,20211001,9,3,9
81,tom1,057,20211001,9,4,9
82,tom1,058,20211001,8,3,8
83,tom1,058,20211001,9,4,9
84,tom1,059,20211001,9,5,9
85,tom1,060,20211001,9,2,9
86,tom1,063,20211002,8,4,8
87,tom1,068,20211002,9,4,9
88,tom1,072,20211002,9,5,9
89,tom1,074,20211002,9,3,9
90,tom1,077,20211002,9,6,9
91,tom1,084,20211002,9,3,9
92,tom1,087,20211002,8,4,8
93,tom1,092,20211002,9,5,9
94,tom1,094,20211002,9,5,9
95,tom1,095,20211002,9,3,9
96,tom1,099,20211002,9,7,9
97,tom1,001,20211006,10,4,10
98,tom1,004,20211006,9,5,9
99,tom1,006,20211006,10,4,10
100,tom1,008,20211006,10,3,10
101,tom1,010,20211006,10,4,10
102,tom1,011,20211006,9,5,9
103,tom1,012,20211006,10,5,10
104,tom1,013,20211006,9,4,9
105,tom1,014,20211006,9,6,9
106,tom1,015,20211006,9,2,9
107,tom1,016,20211006,9,3,9
108,tom1,017,20211006,9,4,9
109,tom1,019,20211006,10,3,10
110,tom1,026,20211007,10,3,10
111,tom1,027,20211007,10,3,10
112,tom1,032,20211007,10,2,10
113,tom1,033,20211007,9,4,9
114,tom1,036,20211007,9,4,9
115,tom1,042,20211007,9,4,9
116,tom1,043,20211007,10,4,10
117,tom1,044,20211007,10,4,10
118,tom1,050,20211007,9,3,9
119,tom1,053,20211009,10,2,10
120,tom1,053,20211009,10,2,10
121,tom1,054,20211009,9,3,9
122,tom1,054,20211009,9,3,9
123,tom1,054,20211009,9,3,9
124,tom1,055,20211009,10,3,10
125,tom1,055,20211009,10,3,10
126,tom1,055,20211009,10,3,10
127,tom1,057,20211009,10,3,10
128,tom1,057,20211009,10,3,10
129,tom1,057,20211009,10,5,10
130,tom1,057,20211009,10,4,10
131,tom1,058,20211009,9,3,9
132,tom1,058,20211009,9,2,9
133,tom1,059,20211009,10,3,10
134,tom1,059,20211009,10,3,10
135,tom1,059,20211009,10,3,10
136,tom1,060,20211009,10,4,10
137,tom1,060,20211009,10,4,10
138,tom1,060,20211009,10,4,10
139,tom1,061,20211008,10,3,10
140,tom1,062,20211008,10,3,10
141,tom1,062,20211008,10,3,10
142,tom1,062,20211008,10,3,10
143,tom1,062,20211008,10,3,10
144,tom1,062,20211008,10,2,10
145,tom1,064,20211008,10,2,10
146,tom1,064,20211008,10,2,10
147,tom1,065,20211008,10,3,10
148,tom1,065,20211008,10,3,10
149,tom1,065,20211008,10,3,10
150,tom1,066,20211008,9,3,9
151,tom1,066,20211008,9,3,9
152,tom1,066,20211008,9,3,9
153,tom1,066,20211008,9,3,9
154,tom1,067,20211008,9,2,9
155,tom1,067,20211008,9,3,9
156,tom1,067,20211008,9,3,9
157,tom1,067,20211008,9,3,9
158,tom1,070,20211008,10,3,10
159,tom1,070,20211008,10,4,10
160,tom1,070,20211008,10,4,10
161,tom1,070,20211008,10,4,10
162,tom1,071,20211009,10,3,10
163,tom1,071,20211009,10,3,10
164,tom1,071,20211009,10,2,10
165,tom1,071,20211009,10,3,10
166,tom1,072,20211009,10,2,10
167,tom1,072,20211009,10,3,10
168,tom1,072,20211009,10,3,10
169,tom1,072,20211009,10,3,10
170,tom1,073,20211009,10,3,10
171,tom1,073,20211009,10,3,10
172,tom1,073,20211009,10,3,10
173,tom1,073,20211009,10,3,10
174,tom1,074,20211009,10,3,10
175,tom1,074,20211009,10,3,10
176,tom1,077,20211009,10,3,10
177,tom1,077,20211009,10,3,10
178,tom1,077,20211009,10,3,10
179,tom1,078,20211009,9,2,9
180,tom1,078,20211009,9,3,9
181,tom1,079,20211009,9,3,9
182,tom1,083,20211009,10,3,10
183,tom1,083,20211009,10,3,10
184,tom1,085,20211009,10,3,10
185,tom1,085,20211009,10,3,10
186,tom1,086,20211009,10,3,10
187,tom1,086,20211009,10,3,10
188,tom1,087,20211009,9,2,9
189,tom1,087,20211009,9,2,9
190,tom1,089,20211009,10,3,10
191,tom1,089,20211009,10,3,10
192,tom1,089,20211009,10,3,10
193,tom1,092,20211009,10,3,10
194,tom1,092,20211009,10,3,10
195,tom1,092,20211009,10,3,10
196,tom1,092,20211009,10,3,10
197,tom1,092,20211009,10,3,10
198,tom1,093,20211009,9,3,9
199,tom1,093,20211009,9,3,9
200,tom1,093,20211009,9,3,9
201,tom1,093,20211009,9,3,9
202,tom1,094,20211009,10,3,10
203,tom1,094,20211009,10,3,10
204,tom1,094,20211009,10,3,10
205,tom1,094,20211009,10,3,10
206,tom1,095,20211009,10,3,10
207,tom1,095,20211009,10,3,10
208,tom1,095,20211009,10,3,10
209,tom1,095,20211009,10,3,10
210,tom1,096,20211009,9,3,9
211,tom1,096,20211009,9,3,9
212,tom1,096,20211009,9,3,9
213,tom1,096,20211009,9,2,9
214,tom1,097,20211009,10,2,10
215,tom1,097,20211009,10,2,10
216,tom1,098,20211009,10,3,10
217,tom1,100,20211009,9,3,9
218,tom1,100,20211009,9,3,9
219,tom1,001,20211011,10,4,10
220,tom1,001,20211011,11,3,11
221,tom1,001,20211011,11,5,11
222,tom1,003,20211011,10,5,10
223,tom1,003,20211011,10,6,10
224,tom1,004,20211011,10,4,10
225,tom1,004,20211011,10,3,10
226,tom1,004,20211011,10,3,10
227,tom1,007,20211011,10,4,10
228,tom1,007,20211011,10,4,10
229,tom1,008,20211011,11,3,11
230,tom1,009,20211011,10,5,10
231,tom1,009,20211011,10,5,10
232,tom1,010,20211011,11,3,11
233,tom1,010,20211011,11,3,11
234,tom1,011,20211011,10,5,10
235,tom1,012,20211011,11,4,11
236,tom1,013,20211011,10,4,10
237,tom1,017,20211011,10,3,10
238,tom1,018,20211011,10,3,10
239,tom1,019,20211011,11,4,11
240,tom1,019,20211011,11,3,11
241,tom1,020,20211011,8,4,8
242,tom1,020,20211011,8,2,8
243,tom1,021,20211012,10,3,10
244,tom1,022,20211012,9,3,9
245,tom1,022,20211012,9,3,9
246,tom1,022,20211012,9,3,9
247,tom1,022,20211012,9,3,9
248,tom1,023,20211012,10,3,10
249,tom1,023,20211012,10,2,10
250,tom1,023,20211012,10,3,10
251,tom1,025,20211012,10,3,10
252,tom1,025,20211012,10,3,10
253,tom1,025,20211012,10,2,10
254,tom1,025,20211012,10,2,10
255,tom1,026,20211012,10,4,10
256,tom1,026,20211012,10,3,10
257,tom1,027,20211012,10,2,10
258,tom1,027,20211012,10,2,10
259,tom1,027,20211012,10,2,10
260,tom1,028,20211012,10,3,10
261,tom1,028,20211012,10,4,10
262,tom1,029,20211012,10,4,10
263,tom1,031,20211012,10,4,10
264,tom1,031,20211012,10,4,10
265,tom1,031,20211012,10,3,10
266,tom1,031,20211012,10,3,10
267,tom1,032,20211012,11,3,11
268,tom1,032,20211012,11,3,11
269,tom1,032,20211012,11,3,11
270,tom1,032,20211012,11,4,11
271,tom1,033,20211012,10,2,10
272,tom1,033,20211012,10,2,10
273,tom1,033,20211012,10,2,10
274,tom1,033,20211012,10,2,10
275,tom1,033,20211012,10,2,10
276,tom1,034,20211012,10,4,10
277,tom1,034,20211012,10,4,10
278,tom1,034,20211012,10,3,10
279,tom1,034,20211012,10,3,10
280,tom1,035,20211012,10,3,10
281,tom1,035,20211012,10,2,10
282,tom1,035,20211012,10,3,10
283,tom1,035,20211012,10,3,10
284,tom1,036,20211012,10,4,10
285,tom1,037,20211012,10,3,10
286,tom1,037,20211012,10,3,10
287,tom1,037,20211012,10,3,10
288,tom1,039,20211012,10,2,10
289,tom1,039,20211012,10,2,10
290,tom1,039,20211012,10,2,10
291,tom1,039,20211012,10,2,10
292,tom1,040,20211012,9,3,9
293,tom1,040,20211012,9,3,9
294,tom1,040,20211012,9,3,9
295,tom1,040,20211012,9,2,9
296,tom1,045,20211013,10,2,10
297,tom1,045,20211013,10,3,10
298,tom1,045,20211013,10,2,10
299,tom1,047,20211013,10,3,10
300,tom1,047,20211013,10,3,10
301,tom1,047,20211013,10,3,10
302,tom1,047,20211013,10,3,10
303,tom1,047,20211013,10,3,10
304,tom1,048,20211013,10,1,10
305,tom1,048,20211013,10,1,10
306,tom1,048,20211013,10,1,10
307,tom1,050,20211013,10,2,10
308,tom1,050,20211013,10,2,10
309,tom1,050,20211013,10,2,10
310,tom1,052,20211013,10,3,10
311,tom1,052,20211013,10,3,10
312,tom1,052,20211013,10,3,10
313,tom1,052,20211013,10,3,10
314,tom1,053,20211013,11,1,11
315,tom1,053,20211013,11,2,11
316,tom1,053,20211013,11,2,11
317,tom1,055,20211013,10,3,10
318,tom1,055,20211013,10,2,10
319,tom1,055,20211013,10,2,10
320,tom1,055,20211013,10,3,10
321,tom1,056,20211013,10,3,10
322,tom1,056,20211013,10,4,10
323,tom1,056,20211013,10,4,10
324,tom1,056,20211013,10,4,10
325,tom1,057,20211013,10,4,10
326,tom1,057,20211013,10,3,10
327,tom1,057,20211013,10,3,10
328,tom1,060,20211013,10,3,10
329,tom1,060,20211013,10,4,10
330,tom1,060,20211013,10,4,10
331,tom1,060,20211013,10,3,10
332,tom1,061,20211014,11,3,11
333,tom1,061,20211014,11,3,11
334,tom1,062,20211014,10,3,10
335,tom1,062,20211014,10,3,10
336,tom1,062,20211014,11,2,11
337,tom1,062,20211014,11,2,11
338,tom1,062,20211014,11,2,11
339,tom1,063,20211014,9,3,9
340,tom1,063,20211014,9,3,9
