,farm_id,number,date,numberOfFruitPerPlant,numberOfFruitPerTruss,fruitingNode
0,tom1,061,20220101,1,14,14
1,tom1,061,20220101,1,15,15
2,tom1,062,20220101,1,14,14
3,tom1,062,20220101,1,15,15
4,tom1,062,20220101,1,15,15
5,tom1,063,20220101,1,13,13
6,tom1,063,20220101,1,14,14
7,tom1,063,20220101,1,14,14
8,tom1,064,20220101,1,14,14
9,tom1,064,20220101,1,15,15
10,tom1,064,20220101,1,16,16
11,tom1,065,20220101,1,14,14
12,tom1,065,20220101,1,15,15
13,tom1,065,20220101,1,15,15
14,tom1,065,20220101,1,16,16
15,tom1,066,20220101,1,14,14
16,tom1,066,20220101,1,15,15
17,tom1,066,20220101,1,15,15
18,tom1,067,20220101,1,12,12
19,tom1,067,20220101,1,12,12
20,tom1,067,20220101,1,13,13
21,tom1,067,20220101,1,14,14
22,tom1,068,20220101,1,14,14
23,tom1,068,20220101,1,14,14
24,tom1,068,20220101,1,15,15
25,tom1,068,20220101,1,15,15
26,tom1,068,20220101,1,16,16
27,tom1,069,20220101,1,14,14
28,tom1,069,20220101,1,14,14
29,tom1,069,20220101,1,15,15
30,tom1,069,20220101,1,15,15
31,tom1,070,20220101,1,16,16
32,tom1,070,20220101,1,16,16
33,tom1,070,20220101,1,16,16
34,tom1,070,20220101,1,17,17
35,tom1,072,20220101,1,14,14
36,tom1,072,20220101,1,14,14
37,tom1,072,20220101,1,15,15
38,tom1,073,20220101,1,14,14
39,tom1,073,20220101,1,14,14
40,tom1,073,20220101,1,15,15
41,tom1,073,20220101,1,15,15
42,tom1,073,20220101,1,16,16
43,tom1,074,20220101,1,14,14
44,tom1,074,20220101,1,14,14
45,tom1,074,20220101,1,15,15
46,tom1,074,20220101,1,16,16
47,tom1,074,20220101,1,16,16
48,tom1,075,20220101,1,15,15
49,tom1,075,20220101,1,15,15
50,tom1,075,20220101,1,16,16
51,tom1,075,20220101,1,16,16
52,tom1,075,20220101,1,16,16
53,tom1,076,20220101,1,14,14
54,tom1,076,20220101,1,15,15
55,tom1,076,20220101,1,15,15
56,tom1,077,20220101,1,13,13
57,tom1,077,20220101,1,14,14
58,tom1,077,20220101,1,15,15
59,tom1,077,20220101,1,15,15
60,tom1,077,20220101,1,16,16
61,tom1,077,20220101,1,16,16
62,tom1,079,20220101,1,14,14
63,tom1,079,20220101,1,14,14
64,tom1,079,20220101,1,15,15
65,tom1,079,20220101,1,15,15
66,tom1,080,20220101,1,14,14
67,tom1,080,20220101,1,15,15
68,tom1,080,20220101,1,15,15
69,tom1,081,20220101,1,14,14
70,tom1,081,20220101,1,14,14
71,tom1,081,20220101,1,14,14
72,tom1,081,20220101,1,15,15
73,tom1,081,20220101,1,15,15
74,tom1,081,20220101,1,16,16
75,tom1,081,20220101,1,16,16
76,tom1,084,20220101,1,13,13
77,tom1,084,20220101,1,13,13
78,tom1,084,20220101,1,13,13
79,tom1,084,20220101,1,14,14
80,tom1,084,20220101,1,15,15
81,tom1,085,20220101,1,14,14
82,tom1,085,20220101,1,16,16
83,tom1,086,20220101,1,13,13
84,tom1,086,20220101,1,14,14
85,tom1,086,20220101,1,15,15
86,tom1,086,20220101,1,15,15
87,tom1,087,20220101,1,14,14
88,tom1,087,20220101,1,14,14
89,tom1,087,20220101,1,15,15
90,tom1,087,20220101,1,15,15
91,tom1,088,20220102,1,12,12
92,tom1,091,20220102,1,12,12
