,날짜,1회공급량,공급ec,공급ph,CO2,습도,광량,내부온도,상부온도
0,2021-10-11,103.33333333333333,2.8,6.2,,,,,
1,2021-10-11,103.33333333333333,2.8,6.2,,,,,
2,2021-10-12,85.0,2.8,5.5,,,,,
3,2021-10-13,51.63636363636363,2.3,6.35,,,,,
4,2021-10-14,94.64285714285714,2.8499999999999996,6.35,,,,,
5,2021-10-15,101.42857142857143,2.8,6.3,,,,,
6,2021-10-16,101.0,2.8,35.2,,,,,
7,2021-10-17,90.22727272727273,2.8,6.3,,,,,
8,2021-10-18,96.84210526315789,2.8499999999999996,6.1,,,,,
9,2021-10-18,96.84210526315789,2.8499999999999996,6.1,,,,,
10,2021-10-19,93.63636363636364,2.8499999999999996,6.35,,,,,
11,2021-10-20,87.05882352941177,2.8499999999999996,6.1,,,,,
12,2021-10-21,96.33333333333333,2.8,6.25,,,,,
13,2021-10-22,99.0,2.8499999999999996,6.2,,,,,
14,2021-10-23,100.0,2.7,6.1,,,,,
15,2021-10-24,96.0,2.8,6.3,,,,,
16,2021-10-25,98.33333333333333,15.4,6.2,,,,,
17,2021-10-26,99.28571428571429,2.8,6.15,,,,,
18,2021-10-27,96.81818181818181,2.8,6.4,,,,,
19,2021-10-28,95.0,2.7,6.4,,,,,
20,2021-10-29,97.85714285714286,2.8,6.25,,,,,
21,2021-10-30,128.82857142857145,2.8,6.05,,,,,
22,2021-10-31,104.28571428571429,2.8,6.05,,,,,
23,2021-10-31,104.28571428571429,2.8,6.05,,,,,
24,2021-11-01,98.33333333333333,2.8,6.15,,,,,
25,2021-11-02,98.33333333333333,2.8,6.05,,,,,
26,2021-11-03,97.6923076923077,2.8,6.0,,,,,
27,2021-11-04,98.18181818181819,2.7,5.85,,,,,
28,2021-11-05,95.83333333333333,2.8,5.95,,,,,
29,2021-11-06,94.23076923076923,2.8,5.95,,,,,
30,2021-11-06,94.23076923076923,2.8,5.95,,,,,
31,2021-10-04,96.47058823529412,2.4,6.6,,,,,
32,2021-10-04,96.47058823529412,2.4,6.6,,,,,
33,2021-10-05,97.77777777777777,2.9,6.3,,,,,
34,2021-10-06,91.30434782608695,2.8,6.25,,,,,
35,2021-10-07,111.92307692307692,2.8,6.25,,,,,
36,2021-10-08,101.11111111111111,2.8,6.4,,,,,
37,2021-10-09,95.5,2.8,6.3,,,,,
38,2021-10-10,96.76470588235294,2.8499999999999996,6.15,,,,,
39,1900-01-04,,,,,,,,
40,2021-11-07,93.84615384615384,2.8,5.95,,,,,
41,2021-11-08,80.0,2.8,6.0,,,,,
42,2021-11-09,100.0,2.8,6.0,,,,,
43,2021-11-10,90.0,2.8,6.0,,,,,
44,2021-11-11,90.0,2.8,6.0,,,,,
45,2021-11-12,90.0,2.8,6.0,,,,,
46,2021-11-13,95.45454545454545,2.8499999999999996,5.9,,,,,
47,2021-11-13,95.45454545454545,2.8499999999999996,5.9,,,,,
48,2021-11-14,96.25,2.8499999999999996,5.75,,,,,
49,2021-11-14,96.25,2.8499999999999996,5.75,,,,,
50,2021-11-15,,2.8,6.05,,,,,
51,2021-11-15,,2.8,6.05,,,,,
52,2021-11-16,98.18181818181819,2.8499999999999996,6.1,,,,,
53,2021-11-17,103.33333333333333,2.8499999999999996,6.2,,,,,
54,2021-11-18,104.54545454545455,2.75,6.2,,,,,
55,2021-11-19,101.25,2.8,6.25,,,,,
56,2021-11-20,90.0,2.8,6.6,,,,,
57,2021-11-20,90.0,2.8,6.6,,,,,
58,2021-11-21,96.0,2.8,6.6,,,,,
59,2021-11-21,96.0,2.8,6.6,,,,,
60,2021-11-22,74.0,2.8,6.7,,,,,
61,2021-11-23,80.0,2.8,6.2,,,,,
62,2021-11-24,111.42857142857143,2.8,6.1,306.56435643564356,94.70901881188118,44.513920820544556,16.544461757425744,16.137682425742575
